// ROUTE SHEET exported by NAVTOR NAVSTATION.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// YOKOHAMA-TOWNSVILLE,<Normal>,
// WPT No.,LAT,,,LON,,,PORT[NM],STBD[NM],Arr. Rad[NM],Speed[kn],Sail(RL/GC),ROT[deg/min],Turn Rad[NM],Time Zone,,Name
000,35,27.306,N,139,40.996,E,***,***,***,***,***,***,***,00:00,E,BERTH
001,35,26.749,N,139,41.505,E,0.05,0.05,0.50,2.0,RL,9.55,0.20,00:00,E,TSURUMI
002,35,25.842,N,139,42.943,E,0.05,0.05,0.50,4.0,RL,19.10,0.20,00:00,E,PILOT CH
003,35,25.347,N,139,43.705,E,0.05,0.05,0.50,4.0,RL,19.10,0.20,00:00,E,TOKYO WA
004,35,24.426,N,139,43.175,E,0.05,0.05,0.50,4.0,RL,19.10,0.20,00:00,E,TOKYO WA
005,35,22.949,N,139,42.315,E,0.05,0.05,0.50,4.2,RL,8.02,0.50,00:00,E,TOKYO WA
006,35,19.766,N,139,42.581,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,URAGA SU
007,35,15.374,N,139,46.257,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,URAGA SU
008,35,12.733,N,139,46.332,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,URAGA SU
009,35,10.300,N,139,45.584,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,URAGA P/
010,34,57.086,N,139,40.795,E,0.05,0.05,0.50,15.5,RL,29.60,0.50,00:00,E,NAKA NO
011,21,51.286,N,144,44.617,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,WP
012,19,44.666,N,145,39.216,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,ASUNCION
013,08,20.000,N,149,20.000,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,ULUI ISL
014,07,51.000,N,149,48.000,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,HITCHFIE
015,03,28.800,S,152,59.600,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,MALENDOK
016,03,57.300,S,153,17.600,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,NE OF NE
017,04,43.400,S,153,17.465,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,E OF NEW
018,09,00.500,S,152,16.550,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,W OF WOO
019,10,23.800,S,152,10.370,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,EAST ISL
020,10,48.700,S,152,05.680,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,PANANIU
021,11,10.090,S,152,06.930,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,JOMARD E
022,11,19.920,S,152,05.700,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,JOMARD
023,11,25.775,S,152,00.690,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,JOMARD O
024,16,25.365,S,147,31.520,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,HOLMES R
025,18,14.965,S,147,05.935,E,0.54,0.54,0.50,15.5,RL,29.60,0.50,00:00,E,PALM PAS
026,18,24.635,S,146,55.500,E,0.05,0.05,0.50,15.5,RL,29.60,0.50,00:00,E,TSS
027,18,59.939,S,146,55.860,E,0.05,0.05,0.50,15.5,RL,29.60,0.50,00:00,E,TSS OUT
028,19,06.570,S,146,54.160,E,0.05,0.05,0.50,15.5,RL,29.60,0.50,00:00,E,P/S PBGA
029,19,08.280,S,146,53.380,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,SEA CHAN
030,19,11.500,S,146,52.055,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,SEA CH P
031,19,13.148,S,146,50.987,E,0.05,0.05,0.50,11.0,RL,21.01,0.50,00:00,E,BN P9
032,19,14.543,S,146,50.089,E,0.05,0.05,0.50,6.0,RL,11.46,0.50,00:00,E,BREAKWAT
033,19,14.834,S,146,50.025,E,0.05,0.05,0.50,4.0,RL,12.73,0.30,00:00,E,HARBOUR
034,19,15.062,S,146,49.845,E,0.05,0.05,0.50,2.0,RL,0.00,0.00,00:00,E,BERTH
