MAX_POWER	SPEED	ETDWPNO	ETAWPNO	OPTIMIZED	BUDGET
100	22.1	000	000	MaxSpeed 	00000000.00
ETD_YEAR	ETD_MONTH	ETD_DAY	ETD_HOUR	ETD_MINUTE	ETA_YEAR	ETA_MONTH	ETA_DAY	ETA_HOUR	 ETA_MINUTE
2013	03	03	08	00	2013	03	03	08	00
NAME	LAT	LON	LEG_TYPE	TURN_RADIUS	CHN_LIMIT_PORT	CHN_LIMIT_STBD	PLANNED_SPEED	SPEED_MIN	SPEED_MAX	COURSE	LENGTH	DO_PLAN	HFO_PLAN	HFO_LEFT	DO_LEFT	ETA_DAY	ETA_TIME
BERTH   	35 27.306 N	139 40.996 E	RHUMBLINE	0.0	00100	00100	2.0	0.0	20.0	0.0	00.00	00000.0	00000.0	00000	00000	0000.00.00	00:00
TSURUMI 	35 26.749 N	139 41.505 E	RHUMBLINE	0.2	00100	00100	2.0	0.0	20.0	143.2	00.67	00000.0	00000.0	00000	00000	0000.00.00	00:00
PILOT CH	35 25.842 N	139 42.943 E	RHUMBLINE	0.2	00100	00100	4.0	0.0	20.0	127.6	01.51	00000.0	00000.0	00000	00000	0000.00.00	00:00
TOKYO WA	35 25.347 N	139 43.705 E	RHUMBLINE	0.2	00100	00100	4.0	0.0	20.0	128.4	00.64	00000.0	00000.0	00000	00000	0000.00.00	00:00
TOKYO WA	35 24.426 N	139 43.175 E	RHUMBLINE	0.2	00100	00100	4.0	0.0	20.0	205.2	01.13	00000.0	00000.0	00000	00000	0000.00.00	00:00
TOKYO WA	35 22.949 N	139 42.315 E	RHUMBLINE	0.5	00100	00100	4.2	0.0	20.0	205.5	01.50	00000.0	00000.0	00000	00000	0000.00.00	00:00
URAGA SU	35 19.766 N	139 42.581 E	RHUMBLINE	0.5	00100	00100	11.0	0.0	20.0	176.1	03.17	00000.0	00000.0	00000	00000	0000.00.00	00:00
URAGA SU	35 15.374 N	139 46.257 E	RHUMBLINE	0.5	00100	00100	11.0	0.0	20.0	145.5	05.30	00000.0	00000.0	00000	00000	0000.00.00	00:00
URAGA SU	35 12.733 N	139 46.332 E	RHUMBLINE	0.5	00100	00100	11.0	0.0	20.0	178.7	02.71	00000.0	00000.0	00000	00000	0000.00.00	00:00
URAGA P/	35 10.300 N	139 45.584 E	RHUMBLINE	0.5	00100	00100	11.0	0.0	20.0	194.2	02.56	00000.0	00000.0	00000	00000	0000.00.00	00:00
NAKA NO 	34 57.086 N	139 40.795 E	RHUMBLINE	0.5	00100	00100	15.5	0.0	20.0	196.6	13.62	00000.0	00000.0	00000	00000	0000.00.00	00:00
WP      	21 51.286 N	144 44.617 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	161.2	828.11	00000.0	00000.0	00000	00000	0000.00.00	00:00
ASUNCION	19 44.666 N	145 39.216 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	157.9	136.13	00000.0	00000.0	00000	00000	0000.00.00	00:00
ULUI ISL	08 20.000 N	149 20.000 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	162.6	714.49	00000.0	00000.0	00000	00000	0000.00.00	00:00
HITCHFIE	07 51.000 N	149 48.000 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	136.1	40.04	00000.0	00000.0	00000	00000	0000.00.00	00:00
MALENDOK	03 28.800 S	152 59.600 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	164.2	703.12	00000.0	00000.0	00000	00000	0000.00.00	00:00
NE OF NE	03 57.300 S	153 17.600 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	147.6	33.51	00000.0	00000.0	00000	00000	0000.00.00	00:00
E OF NEW	04 43.400 S	153 17.465 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	180.2	45.96	00000.0	00000.0	00000	00000	0000.00.00	00:00
W OF WOO	09 00.500 S	152 16.550 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	193.3	262.96	00000.0	00000.0	00000	00000	0000.00.00	00:00
EAST ISL	10 23.800 S	152 10.370 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	184.2	83.15	00000.0	00000.0	00000	00000	0000.00.00	00:00
PANANIU 	10 48.700 S	152 05.680 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	190.6	25.18	00000.0	00000.0	00000	00000	0000.00.00	00:00
JOMARD E	11 10.090 S	152 06.930 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	176.7	21.34	00000.0	00000.0	00000	00000	0000.00.00	00:00
JOMARD  	11 19.920 S	152 05.700 E	RHUMBLINE	0.5	01000	01000	15.5	0.0	20.0	187.0	09.76	00000.0	00000.0	00000	00000	0000.00.00	00:00
